1,SUSP-1,SUSPICIOUS - EVENT,2023-11-09,1039,5700 SPINDLE CT,CENTREVILLE,VA,20121
2,SERV-45,SRO RELATED EVENT,2023-11-09,1039,5700 SPINDLE CT,CENTREVILLE,VA,20121
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-11-09,1010,12500 LEVAU CT,FAIRFAX,VA,22033
1,WARR-90Z-4,WARRANT - WARRANT SERVICE,2023-11-09,0824,6200 LITTLE RIVER TPKE,ALEXANDRIA,VA,22312
1,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2023-11-09,0942,6800 COMMERCIAL DR,SPRINGFIELD,VA,22151
2,SUSP-1,SUSPICIOUS - EVENT,2023-11-09,0942,6800 COMMERCIAL DR,SPRINGFIELD,VA,22151
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2023-11-09,0939,2600 WINDBREAK DR,ALEXANDRIA,VA,22306
1,FRAUD-26C-1,FRAUD - IMPERSONATION,2023-11-09,1106,6000 ROCK CLIFF LN,ALEXANDRIA,VA,22315
1,SERV-1,SERVICE - POLICE SERVICE,2023-11-09,1021,3900 CENTERVIEW DR,CHANTILLY,VA,20151
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2023-11-09,1116,5000 WORTHINGTON WOODS WAY,CENTREVILLE,VA,20120
1,SUSP-1,SUSPICIOUS - EVENT,2023-11-09,0910,7400 RIDGE OAK CT,SPRINGFIELD,VA,22153
1,SERV-39,SERVICE - AVI THREAT SCHOOL,2023-11-09,1100,8400 FORT HUNT RD,ALEXANDRIA,VA,22308
2,SERV-45,SRO RELATED EVENT,2023-11-09,1100,8400 FORT HUNT RD,ALEXANDRIA,VA,22308
1,DRUG-35A-10,DRUGS - OTHER DANGEROUS DRUGS POSSESSION,2023-11-09,1125, BELLVIEW DR / GLEN CARLYN DR,FALLS CHURCH,VA,22041
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2023-11-09,1115,6000 KNOLLWOOD DR,FALLS CHURCH,VA,22041
1,SUSP-3,SUSPICIOUS - VEHICLE,2023-11-09,1238,6000 LEESBURG PIKE,FALLS CHURCH,VA,22041
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2023-11-09,1213,2700 REMINGTON RD,OAKTON,VA,22124
1,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2023-11-09,1056,8300 SIMSBURY PL,ALEXANDRIA,VA,22308
1,LARC-23-6,LARCENY - THEFT FROM MOTOR VEHICLE,2023-11-09,1200,6200 LITTLE RIVER TPKE,ALEXANDRIA,VA,22312
2,SERV-999,POLICE PHONE REPORT,2023-11-09,1200,6200 LITTLE RIVER TPKE,ALEXANDRIA,VA,22312
1,SERV-37,SERVICE - MISSING JUVENILE,2023-11-09,1130,2500 PARKERS LN,ALEXANDRIA,VA,22306
1,PORN-370-3,PORN - CHILD - FINANCE/DIST/SELL CHILD PORN,2023-11-09,1259,6100 ROLLING RD,SPRINGFIELD,VA,22152
2,SERV-45,SRO RELATED EVENT,2023-11-09,1259,6100 ROLLING RD,SPRINGFIELD,VA,22152
1,FRAUD-26C-1,FRAUD - IMPERSONATION,2023-11-09,1320,6700 DOROTHY GILES CT,ALEXANDRIA,VA,22315
1,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2023-11-09,1315,8400 FRYE RD,ALEXANDRIA,VA,22309
1,ANML-90Z-2,ANIMAL - RABIES CERTIFICATE VIOLATION,2023-11-09,1356,6600 ELK PARK CT,ALEXANDRIA,VA,22310
2,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,2023-11-09,1356,6600 ELK PARK CT,ALEXANDRIA,VA,22310
3,ANML-90Z-6,ANIMAL - ANIMAL BITE - DOMESTIC,2023-11-09,1356,6600 ELK PARK CT,ALEXANDRIA,VA,22310
2,SERV-24,SERVICE - JAIL DIVERSION,2023-11-09,1246,13100 PAVILION LN,FAIRFAX,VA,22033
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-11-09,1246,13100 PAVILION LN,FAIRFAX,VA,22033
1,DRUNK-90Z-1,DRUNK - DRUNK/PROFANE IN PUBLIC,2023-11-09,1310,2800 ROGERS DR,FALLS CHURCH,VA,22042
2,WARR-90Z-4,WARRANT - WARRANT SERVICE,2023-11-09,1310,2800 ROGERS DR,FALLS CHURCH,VA,22042
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2023-11-09,1425,6100 FRANCONIA RD,ALEXANDRIA,VA,22310
1,SERV-1,SERVICE - POLICE SERVICE,2023-11-09,1427,2800 POAG ST,ALEXANDRIA,VA,22303
1,WARR-90Z-4,WARRANT - WARRANT SERVICE,2023-11-09,1133,7600 RICHMOND HWY,ALEXANDRIA,VA,22306
1,LARC-23-6,LARCENY - THEFT FROM MOTOR VEHICLE,2023-11-09,1245,5900 KINGSTOWNE TOWNE CTR,ALEXANDRIA,VA,22315
1,SERV-1,SERVICE - POLICE SERVICE,2023-11-09,1055,8100 GATEHOUSE RD,FALLS CHURCH,VA,22042
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-11-09,1407,6500 SPRINGFIELD MALL,SPRINGFIELD,VA,22150
1,ANML-90Z-7,ANIMAL - OTHER ANIMAL CODE VIOLATION,2023-11-09,1405,3200 GLENWOOD PL,FALLS CHURCH,VA,22041
2,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2023-11-09,1405,3200 GLENWOOD PL,FALLS CHURCH,VA,22041
1,LARC-23-9,LARCENY -  ALL OTHER LARCENY,2023-11-09,1224,1700 OLD MEADOW RD,MCLEAN,VA,22102
1,PORN-370-3,PORN - CHILD - FINANCE/DIST/SELL CHILD PORN,2023-11-09,1455,5000 ROSE HILL FARM DR,ALEXANDRIA,VA,22310
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2023-11-09,1030,9400 ROUTE 29,FAIRFAX,VA,22031
1,WARR-90Z-4,WARRANT - WARRANT SERVICE,2023-11-09,1210,2500 PARKERS LN,ALEXANDRIA,VA,22306
1,SERV-39,SERVICE - AVI THREAT SCHOOL,2023-11-09,1425,4000 FIELDING ST,ALEXANDRIA,VA,22309
1,ANML-3,ANIMAL - SERVICE - DOMESTIC,2023-11-09,1510,5500 SEMINARY RD,FALLS CHURCH,VA,22041
